"step","downstreamPressure_DP172_842.500-0.420-0.470-9.341-1.511-6.182-=1.5114"
102000.0,3.6124954
103000.0,3.6516376
104000.0,3.62273
105000.0,3.5936918
106000.0,3.6410482
107000.0,3.6158464
108000.0,3.6188788
109000.0,3.5591946
110000.0,3.624015
111000.0,3.5540838
112000.0,3.5200467
113000.0,3.5498562
114000.0,3.5609367
115000.0,3.548369
116000.0,3.4512925
117000.0,3.5370746
118000.0,3.563393
119000.0,3.5193014
120000.0,3.523764
121000.0,3.4771276
122000.0,3.4612613
123000.0,3.453504
124000.0,3.4434807
125000.0,3.4513764
126000.0,3.4523432
127000.0,3.3352954
128000.0,3.4063492
129000.0,3.4198222
130000.0,3.3695858
131000.0,3.3746834
132000.0,3.3650627
133000.0,3.3506994
134000.0,3.3317764
135000.0,3.3201466
136000.0,3.342752456665039
137000.0,3.3132553100585938
138000.0,3.2829277515411377
139000.0,3.265562057495117
140000.0,3.2575020790100098
141000.0,3.228886604309082
142000.0,3.2075395584106445
143000.0,3.2227063179016113
144000.0,3.173487663269043
145000.0,3.1905646324157715
146000.0,3.1927638053894043
147000.0,3.1767141819000244
148000.0,3.1448850631713867
149000.0,3.1367411613464355
150000.0,3.0928635597229004
151000.0,3.11041259765625
152000.0,3.106602430343628
153000.0,3.0836944580078125
154000.0,3.057258129119873
155000.0,3.0490450859069824
156000.0,3.030745506286621
157000.0,3.0158727169036865
158000.0,2.998873233795166
159000.0,2.999454975128174
160000.0,2.979344367980957
161000.0,2.9609477519989014
162000.0,2.9419968128204346
163000.0,2.9256205558776855
164000.0,2.894263744354248
165000.0,2.8885018825531006
166000.0,2.8399922847747803
167000.0,2.885387420654297
168000.0,2.8721346855163574
169000.0,2.848921298980713
170000.0,2.8244991302490234
171000.0,2.833895683288574
172000.0,2.8003530502319336
173000.0,2.7960071563720703
174000.0,2.766047239303589
175000.0,2.769754648208618
176000.0,2.7494394779205322
177000.0,2.725494384765625
178000.0,2.7250938415527344
179000.0,2.700901508331299
180000.0,2.6847012042999268
181000.0,2.6894454956054688
182000.0,2.666591167449951
183000.0,2.6649460792541504
184000.0,2.6485605239868164
185000.0,2.636549949645996
186000.0,2.622074604034424
187000.0,2.614845037460327
188000.0,2.611919403076172
189000.0,2.5919036865234375
190000.0,2.596325397491455
191000.0,2.5810954570770264
192000.0,2.563537836074829
193000.0,2.5503811836242676
194000.0,2.557462215423584
195000.0,2.540879011154175
196000.0,2.52717924118042
197000.0,2.5317540168762207
198000.0,2.538698673248291
199000.0,2.521754503250122
200000.0,2.509166717529297
201000.0,2.4894251823425293
202000.0,2.4835917949676514
203000.0,2.4844727516174316
204000.0,2.469332218170166
205000.0,2.459360122680664
206000.0,2.449998140335083
207000.0,2.445192337036133
208000.0,2.4318270683288574
209000.0,2.42840576171875
210000.0,2.4243555068969727
211000.0,2.4069995880126953
212000.0,2.416196584701538
213000.0,2.3990697860717773
214000.0,2.4001786708831787
215000.0,2.3828423023223877
216000.0,2.3870253562927246
217000.0,2.373055934906006
218000.0,2.3679728507995605
219000.0,2.360999584197998
220000.0,2.358994722366333
221000.0,2.3496689796447754
222000.0,2.3287432193756104
223000.0,2.3278346061706543
224000.0,2.321951389312744
225000.0,2.3192107677459717
226000.0,2.3156399726867676
227000.0,2.3076634407043457
228000.0,2.3064827919006348
229000.0,2.3021435737609863
230000.0,2.300420045852661
231000.0,2.2756524085998535
232000.0,2.283543109893799
233000.0,2.260495185852051
234000.0,2.271078586578369
235000.0,2.2630019187927246
236000.0,2.2612669467926025
237000.0,2.2585415840148926
238000.0,2.247002601623535
239000.0,2.2370312213897705
240000.0,2.2219889163970947
241000.0,2.224212169647217
242000.0,2.2259585857391357
243000.0,2.232671022415161
244000.0,2.226257801055908
245000.0,2.216951608657837
246000.0,2.2167611122131348
247000.0,2.209282159805298
248000.0,2.201427936553955
249000.0,2.1992506980895996
250000.0,2.2037744522094727
251000.0,2.191711902618408
252000.0,2.1874876022338867
253000.0,2.182497501373291
254000.0,2.1830997467041016
255000.0,2.1771597862243652
256000.0,2.1751108169555664
257000.0,2.172630786895752
258000.0,2.1779227256774902
259000.0,2.1704013347625732
260000.0,2.1629796028137207
261000.0,2.154118061065674
262000.0,2.158085823059082
263000.0,2.152245044708252
264000.0,2.1452255249023438
265000.0,2.1437911987304688
266000.0,2.1442079544067383
267000.0,2.1455371379852295
268000.0,2.1358871459960938
269000.0,2.1351513862609863
270000.0,2.128293991088867
271000.0,2.1226260662078857
272000.0,2.118307113647461
273000.0,2.11887788772583
274000.0,2.119266986846924
275000.0,2.1119253635406494
276000.0,2.115110158920288
277000.0,2.1099300384521484
278000.0,2.1067004203796387
279000.0,2.0996809005737305
280000.0,2.101067066192627
281000.0,2.10451078414917
282000.0,2.095791816711426
283000.0,2.0974254608154297
284000.0,2.0932729244232178
285000.0,2.09489107131958
286000.0,2.0912091732025146
287000.0,2.07900333404541
288000.0,2.0849876403808594
289000.0,2.087209939956665
290000.0,2.0772595405578613
291000.0,2.0758981704711914
292000.0,2.075237274169922
293000.0,2.069105625152588
294000.0,2.0616865158081055
295000.0,2.0601773262023926
296000.0,2.0641632080078125
297000.0,2.058070421218872
298000.0,2.05950927734375
299000.0,2.0591959953308105
300000.0,2.054478883743286
