"step","upstreamPressure_DP172_842,50-0,42-0,47=6.1817"
0,3.3492746
1000,6.209812
2000,6.1498804
3000,6.2040005
4000,6.2472296
5000,6.4323845
6000,6.2513757
7000,6.304408
8000,6.4249706
9000,6.30932
10000,6.406916
11000,6.316598
12000,6.3812
13000,6.3954973
14000,6.377956
15000,6.4040937
16000,6.4010935
17000,6.3984966
18000,6.4410276
19000,6.4230366
20000,6.420825
21000,6.4159555
22000,6.4506073
23000,6.4377823
24000,6.456516
25000,6.433368
26000,6.443857
27000,6.43184
28000,6.41768
29000,6.4300404
30000,6.430796
31000,6.4220724
32000,6.413273
33000,6.423517
34000,6.4281025
35000,6.395397
36000,6.4451723
37000,6.4237356
38000,6.4294186
39000,6.4210615
40000,6.426733
41000,6.4116306
42000,6.424334
43000,6.4369907
44000,6.4083443
45000,6.42143
46000,6.4071226
47000,6.4091587
48000,6.3920336
49000,6.3897467
50000,6.3994794
51000,6.414242
52000,6.410323
53000,6.4097524
54000,6.4115343
55000,6.413272
56000,6.3961277
57000,6.376547
58000,6.385456
59000,6.3894424
60000,6.394365
61000,6.3827925
62000,6.3883967
63000,6.3943844
64000,6.3851852
65000,6.3783007
66000,6.3899755
67000,6.3821154
68000,6.377781
69000,6.3808813
70000,6.38054
71000,6.3660493
72000,6.3754454
73000,6.3771496
74000,6.372139
75000,6.3674526
76000,6.3715963
77000,6.3647842
78000,6.363679
79000,6.3609605
80000,6.3642473
81000,6.366603
82000,6.36438
83000,6.368229
84000,6.3589854
85000,6.3538704
86000,6.362329
87000,6.3546925
88000,6.353657
89000,6.3762283
90000,6.3586645
91000,6.3599553
92000,6.352167
93000,6.3536067
94000,6.3578005
95000,6.3549323
96000,6.3611045
97000,6.3526
98000,6.348501
99000,6.3463345
100000,6.349544
