"step","downstreamPressure"
0.0,0.028022207
1000.0,1.0515169
2000.0,1.0790052
3000.0,1.0867152
4000.0,1.0870248
5000.0,1.085398
6000.0,1.0829682
7000.0,1.0814605
8000.0,1.0806818
9000.0,1.0815367
10000.0,1.0812464
11000.0,1.0800508
12000.0,1.0804186
13000.0,1.0806158
14000.0,1.0811019
15000.0,1.0815473
16000.0,1.0813756
17000.0,1.0798991
18000.0,1.0814472
19000.0,1.081249
20000.0,1.0812767
21000.0,1.080596
22000.0,1.0817434
23000.0,1.0819992
24000.0,1.0808625
25000.0,1.0813484
26000.0,1.0812759
27000.0,1.0811131
28000.0,1.081426
29000.0,1.0813147
30000.0,1.0812788
31000.0,1.0814834
32000.0,1.0817621
33000.0,1.0811962
34000.0,1.0804763
35000.0,1.0811682
36000.0,1.0802981
37000.0,1.0813649
38000.0,1.0809541
39000.0,1.0810373
40000.0,1.0812354
41000.0,1.0807543
42000.0,1.0809239
43000.0,1.0812328
44000.0,1.0813243
45000.0,1.0811169
46000.0,1.081526
47000.0,1.0810883
48000.0,1.0811495
49000.0,1.0809408
50000.0,1.0815895
51000.0,1.080517
52000.0,1.0810189
53000.0,1.081629
54000.0,1.0814276
55000.0,1.0811932
56000.0,1.0814354
57000.0,1.081472
58000.0,1.0815825
59000.0,1.0796623229980469
60000.0,1.0800716876983643
61000.0,1.0803751945495605
62000.0,1.0808614492416382
63000.0,1.0809766054153442
64000.0,1.080378532409668
65000.0,1.0820468664169312
66000.0,1.0810589790344238
67000.0,1.0810558795928955
68000.0,1.0816738605499268
69000.0,1.0819206237792969
70000.0,1.0816854238510132
71000.0,1.0820382833480835
72000.0,1.081775188446045
73000.0,1.08147394657135
74000.0,1.0818393230438232
75000.0,1.081282138824463
76000.0,1.0817843675613403
77000.0,1.0813438892364502
78000.0,1.0813556909561157
79000.0,1.0811350345611572
80000.0,1.0815556049346924
81000.0,1.0812067985534668
82000.0,1.0817680358886719
83000.0,1.0817300081253052
84000.0,1.081656813621521
85000.0,1.0816264152526855
86000.0,1.0818438529968262
87000.0,1.0817004442214966
88000.0,1.0817508697509766
89000.0,1.081796646118164
90000.0,1.0811470746994019
91000.0,1.0816349983215332
92000.0,1.0816113948822021
93000.0,1.0814387798309326
94000.0,1.0817680358886719
95000.0,1.0811736583709717
96000.0,1.0820754766464233
97000.0,1.082045555114746
98000.0,1.0815939903259277
99000.0,1.081540584564209
100000.0,1.0820164680480957
