"step","downstreamPressure_DP36_572,73-0,32-0,23=2.03157"
0,2.626737
1000,2.0726643
2000,2.0340023
3000,2.0732927
4000,1.9910586
5000,2.062779
6000,2.043693
7000,2.0411212
8000,1.999665
9000,2.0000904
10000,2.0125663
11000,2.0366225
12000,2.021
13000,2.028211
14000,2.0081782
15000,2.0544374
16000,2.0297606
17000,2.048143
18000,2.0203164
19000,2.0366797
20000,2.0127904
21000,2.0464454
22000,2.0149088
23000,2.0365944
24000,2.0230973
25000,2.0205472
26000,2.0452232
27000,2.027297
28000,2.0268404
29000,2.0201962
30000,2.0302567
31000,2.0318785
32000,2.0401144
33000,2.0424194
34000,2.0344503
35000,2.0375147
36000,2.023265
37000,2.0180783
38000,2.0201705
39000,2.0410347
40000,2.038615
41000,2.025695
42000,2.0231652
43000,2.0261655
44000,2.0380926
45000,2.0269957
46000,2.0378017
47000,2.037736
48000,2.0287352
49000,2.042556
50000,2.0286007
51000,2.0373983
52000,2.0290098
53000,2.0326452
54000,2.0265787
55000,2.0310225
56000,2.027251
57000,2.0386076
58000,2.0380697
59000,2.02112
60000,2.0378227
61000,2.02253
62000,2.028954
63000,2.0370433
64000,2.0293767
65000,2.0232482
66000,2.025082
67000,2.0313773
68000,2.0233855
69000,2.0285301
70000,2.0319035
71000,2.0368178
72000,2.0270958
73000,2.0376067
74000,2.0253232
75000,2.0308843
76000,2.0301805
77000,2.0312784
78000,2.0317192
79000,2.0380077
80000,2.0352054
81000,2.0350173
82000,2.031591
83000,2.0295563
84000,2.0230548
85000,2.0277786
86000,2.036102
87000,2.0331287
88000,2.030458
89000,2.0307403
90000,2.0336647
91000,2.034385
92000,2.0307064
93000,2.0334458
94000,2.0332856
95000,2.0310328
96000,2.033934
97000,2.0321214
98000,2.028995
99000,2.0316863
100000,2.0321383
