"step","upstreamPressureDiff_DP107_550_0.54666666666666663_0.2365"
0.0,-4.115844
1000.0,-1.1121879
2000.0,-1.0835588
3000.0,-1.1234322
4000.0,-1.1472659
5000.0,-1.1616621
6000.0,-1.138655
7000.0,-1.1635423
8000.0,-1.1596599
9000.0,-1.1801336
10000.0,-1.1882024
11000.0,-1.2007546
12000.0,-1.1555884
13000.0,-1.1975694
14000.0,-1.2029757
15000.0,-1.202306
16000.0,-1.1729412
17000.0,-1.2365484
18000.0,-1.1955781
19000.0,-1.1948023
20000.0,-1.1971347
21000.0,-1.2042315
22000.0,-1.2050557
23000.0,-1.2018933
24000.0,-1.2156353
25000.0,-1.2167983
26000.0,-1.2010977
27000.0,-1.2167802
28000.0,-1.206371784210205
29000.0,-1.2020587921142578
30000.0,-1.2043519020080566
31000.0,-1.211172103881836
32000.0,-1.2118892669677734
33000.0,-1.2244877815246582
34000.0,-1.223909616470337
35000.0,-1.2089076042175293
36000.0,-1.2173871994018555
37000.0,-1.2194900512695312
38000.0,-1.2159738540649414
39000.0,-1.2199687957763672
40000.0,-1.2113375663757324
41000.0,-1.2159507274627686
42000.0,-1.2133240699768066
43000.0,-1.2120084762573242
44000.0,-1.2176966667175293
45000.0,-1.2128400802612305
46000.0,-1.212503433227539
47000.0,-1.2174561023712158
48000.0,-1.2184388637542725
49000.0,-1.2116401195526123
50000.0,-1.2153823375701904
51000.0,-1.2164034843444824
52000.0,-1.206756353378296
53000.0,-1.216111660003662
54000.0,-1.214881420135498
55000.0,-1.2167189121246338
56000.0,-1.2143936157226562
57000.0,-1.212432861328125
58000.0,-1.2183430194854736
59000.0,-1.2176992893218994
60000.0,-1.2156829833984375
61000.0,-1.2158348560333252
62000.0,-1.220634937286377
63000.0,-1.2111387252807617
64000.0,-1.2135529518127441
65000.0,-1.2129158973693848
66000.0,-1.217217206954956
67000.0,-1.2138900756835938
68000.0,-1.216026782989502
69000.0,-1.2150940895080566
70000.0,-1.2166292667388916
71000.0,-1.2146482467651367
72000.0,-1.2165703773498535
73000.0,-1.213688850402832
74000.0,-1.215146541595459
75000.0,-1.2137713432312012
76000.0,-1.2138917446136475
77000.0,-1.2156522274017334
78000.0,-1.2131187915802002
79000.0,-1.210669994354248
80000.0,-1.218280553817749
81000.0,-1.2155475616455078
82000.0,-1.2150006294250488
83000.0,-1.215536117553711
84000.0,-1.2172491550445557
85000.0,-1.2101333141326904
86000.0,-1.2156696319580078
87000.0,-1.2155556678771973
88000.0,-1.2145884037017822
89000.0,-1.2174577713012695
90000.0,-1.2146995067596436
91000.0,-1.2125849723815918
92000.0,-1.2157154083251953
93000.0,-1.2139360904693604
94000.0,-1.2146458625793457
95000.0,-1.2155141830444336
96000.0,-1.216597080230713
97000.0,-1.2160038948059082
98000.0,-1.2145674228668213
99000.0,-1.2117784023284912
100000.0,-1.2167158126831055
101000.0,-1.21494722366333
102000.0,-1.215681552886963
103000.0,-1.2149577140808105
104000.0,-1.2162342071533203
105000.0,-1.2146191596984863
106000.0,-1.2153892517089844
107000.0,-1.2157328128814697
108000.0,-1.2162165641784668
109000.0,-1.216515064239502
110000.0,-1.2159194946289062
111000.0,-1.2148871421813965
112000.0,-1.2161710262298584
113000.0,-1.216285228729248
114000.0,-1.2143545150756836
115000.0,-1.2181854248046875
116000.0,-1.2152588367462158
117000.0,-1.2164769172668457
118000.0,-1.2149791717529297
119000.0,-1.2158045768737793
120000.0,-1.2157869338989258
121000.0,-1.218073844909668
122000.0,-1.213456630706787
123000.0,-1.2149124145507812
124000.0,-1.2157769203186035
125000.0,-1.2158238887786865
126000.0,-1.2153184413909912
127000.0,-1.2149276733398438
128000.0,-1.217055320739746
129000.0,-1.2159934043884277
130000.0,-1.2151985168457031
131000.0,-1.2154541015625
132000.0,-1.2154250144958496
133000.0,-1.2157466411590576
134000.0,-1.2169880867004395
135000.0,-1.2156801223754883
136000.0,-1.2163920402526855
137000.0,-1.2148923873901367
138000.0,-1.216425895690918
139000.0,-1.216040849685669
140000.0,-1.2147719860076904
141000.0,-1.2161633968353271
142000.0,-1.2162234783172607
143000.0,-1.216437816619873
144000.0,-1.2151141166687012
145000.0,-1.2152996063232422
146000.0,-1.2163193225860596
147000.0,-1.2163581848144531
148000.0,-1.2161343097686768
149000.0,-1.2158257961273193
150000.0,-1.2151856422424316
151000.0,-1.2163023948669434
152000.0,-1.2166557312011719
153000.0,-1.2152161598205566
154000.0,-1.2155370712280273
155000.0,-1.2163033485412598
156000.0,-1.2155356407165527
157000.0,-1.215904712677002
158000.0,-1.2168169021606445
159000.0,-1.2151341438293457
160000.0,-1.2159709930419922
161000.0,-1.216022253036499
162000.0,-1.2156472206115723
163000.0,-1.2158658504486084
164000.0,-1.214799404144287
165000.0,-1.2155797481536865
166000.0,-1.2147040367126465
167000.0,-1.2155413627624512
168000.0,-1.2146484851837158
169000.0,-1.2165226936340332
170000.0,-1.2150394916534424
171000.0,-1.2162373065948486
172000.0,-1.2162120342254639
173000.0,-1.214970588684082
174000.0,-1.215693473815918
175000.0,-1.2154736518859863
176000.0,-1.2156729698181152
177000.0,-1.2169761657714844
178000.0,-1.2162714004516602
179000.0,-1.214794635772705
180000.0,-1.2146286964416504
181000.0,-1.2152903079986572
182000.0,-1.2148537635803223
183000.0,-1.215224266052246
184000.0,-1.215336799621582
