"step","upstreamPressureDiff_DP106_489.99999999999994_0.49333333333333335_0.2255"
0.0,-4.127749
1000.0,-1.0707762
2000.0,-1.0329297
3000.0,-0.9938948
4000.0,-1.0059469
5000.0,-0.9771488
6000.0,-0.94046974
7000.0,-0.9520366
8000.0,-0.94140387
9000.0,-0.9418762
10000.0,-0.95295024
11000.0,-0.9622948
12000.0,-0.918102
13000.0,-0.9746218
14000.0,-0.9682102
15000.0,-0.9637747
16000.0,-0.94799185
17000.0,-1.0304618
18000.0,-0.9769902
19000.0,-0.98161817
20000.0,-0.97466993
21000.0,-0.9810879
22000.0,-0.9895568
23000.0,-0.98411274
24000.0,-0.99496126
25000.0,-0.99257326
26000.0,-0.9880338
27000.0,-0.99443626
28000.0,-0.9856576919555664
29000.0,-0.9876914024353027
30000.0,-0.9863147735595703
31000.0,-0.9939761161804199
32000.0,-0.994265079498291
33000.0,-1.003312110900879
34000.0,-1.0019021034240723
35000.0,-0.9934892654418945
36000.0,-0.9998824596405029
37000.0,-1.0059523582458496
38000.0,-0.997913122177124
39000.0,-1.000131368637085
40000.0,-1.0040247440338135
41000.0,-1.001051425933838
42000.0,-0.9992003440856934
43000.0,-0.9986674785614014
44000.0,-1.005615472793579
45000.0,-1.0017728805541992
46000.0,-1.002701997756958
47000.0,-1.0028724670410156
48000.0,-1.0066204071044922
49000.0,-1.0038418769836426
50000.0,-1.0074479579925537
51000.0,-1.0090150833129883
52000.0,-1.0042541027069092
53000.0,-1.0110855102539062
54000.0,-1.0096118450164795
55000.0,-1.010329008102417
56000.0,-1.0079998970031738
57000.0,-1.0127501487731934
58000.0,-1.0154643058776855
59000.0,-1.014277458190918
60000.0,-1.0123534202575684
61000.0,-1.0135960578918457
62000.0,-1.0185151100158691
63000.0,-1.0096654891967773
64000.0,-1.0107765197753906
65000.0,-1.0110652446746826
66000.0,-1.0172228813171387
67000.0,-1.0132381916046143
68000.0,-1.016097068786621
69000.0,-1.0138826370239258
70000.0,-1.0184009075164795
71000.0,-1.0153164863586426
72000.0,-1.0167760848999023
73000.0,-1.0158305168151855
74000.0,-1.019303560256958
75000.0,-1.0161023139953613
76000.0,-1.0157840251922607
77000.0,-1.0183296203613281
78000.0,-1.0178017616271973
79000.0,-1.015336036682129
80000.0,-1.0198955535888672
81000.0,-1.0191726684570312
82000.0,-1.0189166069030762
83000.0,-1.0200600624084473
84000.0,-1.021489143371582
85000.0,-1.0150032043457031
86000.0,-1.019369125366211
87000.0,-1.0204014778137207
88000.0,-1.0193791389465332
89000.0,-1.0212368965148926
90000.0,-1.0202019214630127
91000.0,-1.018540382385254
92000.0,-1.0211591720581055
93000.0,-1.0194599628448486
94000.0,-1.0210468769073486
95000.0,-1.020956039428711
96000.0,-1.0225865840911865
97000.0,-1.0217578411102295
98000.0,-1.020681381225586
99000.0,-1.0187156200408936
100000.0,-1.023604393005371
101000.0,-1.020982265472412
102000.0,-1.0212900638580322
103000.0,-1.021277666091919
104000.0,-1.0224709510803223
105000.0,-1.0222277641296387
106000.0,-1.0230684280395508
107000.0,-1.0235426425933838
108000.0,-1.023301124572754
109000.0,-1.0250346660614014
110000.0,-1.023383617401123
111000.0,-1.0229597091674805
112000.0,-1.0231425762176514
113000.0,-1.0229456424713135
114000.0,-1.0220746994018555
115000.0,-1.0266273021697998
116000.0,-1.024846076965332
117000.0,-1.024296760559082
118000.0,-1.023651361465454
119000.0,-1.0263786315917969
120000.0,-1.0256762504577637
121000.0,-1.02781081199646
122000.0,-1.0246634483337402
123000.0,-1.0247373580932617
124000.0,-1.025650978088379
125000.0,-1.025559902191162
126000.0,-1.024796962738037
127000.0,-1.0244476795196533
128000.0,-1.0270869731903076
129000.0,-1.0262417793273926
130000.0,-1.0256586074829102
131000.0,-1.0251235961914062
132000.0,-1.0253701210021973
133000.0,-1.0254120826721191
134000.0,-1.0269112586975098
135000.0,-1.0260670185089111
136000.0,-1.0270228385925293
137000.0,-1.0253973007202148
138000.0,-1.0273833274841309
139000.0,-1.0264782905578613
140000.0,-1.0264370441436768
141000.0,-1.0268688201904297
142000.0,-1.027440071105957
143000.0,-1.0272316932678223
144000.0,-1.0269763469696045
145000.0,-1.026224136352539
146000.0,-1.0272293090820312
147000.0,-1.0268313884735107
148000.0,-1.0277905464172363
149000.0,-1.0276565551757812
150000.0,-1.0265767574310303
151000.0,-1.0282421112060547
152000.0,-1.0279951095581055
153000.0,-1.0270271301269531
154000.0,-1.027787446975708
155000.0,-1.0273969173431396
156000.0,-1.0271046161651611
157000.0,-1.0278325080871582
