"step","downstreamPressure"
0.0,-0.09214477
1000.0,0.88448364
2000.0,1.0204429626464844
3000.0,1.0214030742645264
4000.0,1.0200774669647217
5000.0,1.0170799493789673
6000.0,1.0158369541168213
7000.0,1.014676570892334
8000.0,1.0137035846710205
9000.0,1.0132133960723877
10000.0,1.0127884149551392
11000.0,1.0119715929031372
12000.0,1.0115983486175537
13000.0,1.0116807222366333
14000.0,1.0110169649124146
15000.0,1.0111631155014038
16000.0,1.010211706161499
17000.0,1.010099172592163
18000.0,1.0098892450332642
19000.0,1.0096467733383179
20000.0,1.0092926025390625
21000.0,1.0097661018371582
22000.0,1.0087841749191284
23000.0,1.009298324584961
24000.0,1.008814811706543
25000.0,1.0086805820465088
26000.0,1.0082579851150513
27000.0,1.0079925060272217
28000.0,1.0078108310699463
29000.0,1.0071349143981934
30000.0,1.0075252056121826
31000.0,1.0069899559020996
32000.0,1.0066864490509033
33000.0,1.0067750215530396
34000.0,1.006264328956604
35000.0,1.0062518119812012
36000.0,1.006089448928833
37000.0,1.0060844421386719
38000.0,1.0059727430343628
39000.0,1.0057744979858398
40000.0,1.005805253982544
41000.0,1.0054028034210205
42000.0,1.005413293838501
43000.0,1.0057227611541748
44000.0,1.0053064823150635
45000.0,1.0054408311843872
46000.0,1.0051870346069336
47000.0,1.0049864053726196
48000.0,1.0048179626464844
49000.0,1.0048683881759644
50000.0,1.0049529075622559
51000.0,1.0046019554138184
52000.0,1.0045912265777588
53000.0,1.0048205852508545
54000.0,1.0046448707580566
55000.0,1.0044803619384766
56000.0,1.0046117305755615
57000.0,1.004435658454895
58000.0,1.0044398307800293
59000.0,1.004652738571167
60000.0,1.004482388496399
61000.0,1.004378318786621
62000.0,1.0046920776367188
63000.0,1.0043929815292358
64000.0,1.0041584968566895
65000.0,1.0039448738098145
66000.0,1.004319429397583
67000.0,1.0042558908462524
68000.0,1.0040125846862793
1000.0,1.0040125846862793
2000.0,1.0040125846862793
3000.0,1.0040125846862793
4000.0,1.0040125846862793
5000.0,1.0040125846862793
6000.0,1.0040125846862793
7000.0,1.0040125846862793
8000.0,1.0040125846862793
9000.0,1.0040125846862793
10000.0,1.0040125846862793
11000.0,1.0040125846862793
12000.0,1.0040125846862793
13000.0,1.0040125846862793
14000.0,1.0040125846862793
15000.0,1.0040125846862793
