"step","upstreamPressure_DP169_527,50-0,82-0,41=7.49971"
0,1.2721
1000,7.1240034
2000,7.1153917
3000,7.335394
4000,7.232481
5000,7.2437677
6000,7.213051
7000,7.2415953
8000,7.221509
9000,7.3207965
10000,7.2808976
11000,7.307925
12000,7.305194
13000,7.2539463
14000,7.2630754
15000,7.3021064
16000,7.2969103
17000,7.2844043
18000,7.272708
19000,7.274459
20000,7.2393856
21000,7.258121
22000,7.260867
23000,7.1980906
24000,7.2418127
25000,7.2002172
26000,7.1925573
27000,7.209238
28000,7.205621
29000,7.191145
30000,7.184634
31000,7.199893
32000,7.179498
33000,7.1500406
34000,7.1304865
35000,7.1311326
36000,7.1592536
37000,7.1058397
38000,7.1238904
39000,7.137765
40000,7.111862
41000,7.130671
42000,7.133485
43000,7.1006165
44000,7.1335955
45000,7.1191616
46000,7.1204853
47000,7.1251802
48000,7.130821
49000,7.1378374
50000,7.129463
51000,7.124131
52000,7.1091614
53000,7.127787
54000,7.1017623
55000,7.125823
56000,7.103557
57000,7.1279416
58000,7.1155643
59000,7.0980597
60000,7.1135187
61000,7.1177635
62000,7.117243
63000,7.158139
64000,7.146947
65000,7.115199
66000,7.1502295
67000,7.1483564
68000,7.1473327
69000,7.146846
70000,7.146595
71000,7.1589284
72000,7.1459146
73000,7.159167
74000,7.148468
75000,7.1542664
76000,7.1452527
77000,7.1579065
78000,7.160908
79000,7.1318774
80000,7.1556654
81000,7.1773367
82000,7.1572733
83000,7.160453
84000,7.1781216
85000,7.1675572
86000,7.172649
87000,7.1794715
88000,7.182582
89000,7.172407
90000,7.183101
91000,7.1841555
92000,7.1862288
93000,7.1972723
94000,7.184904
95000,7.203784
96000,7.186195
97000,7.2089767
98000,7.1838913
99000,7.1952734
100000,7.206261
