"step","downstreamPressure"
0.0,1.0030768
1000.0,1.0037035
2000.0,1.0073875188827515
3000.0,1.0091148614883423
4000.0,1.0094176530838013
5000.0,1.0091882944107056
6000.0,1.0071996450424194
7000.0,1.0052344799041748
8000.0,1.004145622253418
9000.0,1.0028932094573975
10000.0,0.9994463920593262
11000.0,0.9972763061523438
12000.0,0.99460768699646
13000.0,0.9920217990875244
14000.0,0.9900306463241577
15000.0,0.98655104637146
16000.0,0.9840360879898071
17000.0,0.9814710021018982
18000.0,0.979224443435669
19000.0,0.9768438935279846
20000.0,0.9741655588150024
21000.0,0.9719921350479126
22000.0,0.9694680571556091
23000.0,0.9670720100402832
24000.0,0.9654903411865234
25000.0,0.9633791446685791
26000.0,0.9610521793365479
27000.0,0.9589020013809204
28000.0,0.9571118950843811
29000.0,0.9547975063323975
30000.0,0.9532612562179565
31000.0,0.951361358165741
32000.0,0.9498641490936279
33000.0,0.9482359886169434
34000.0,0.9466896653175354
35000.0,0.9449502229690552
36000.0,0.9437191486358643
37000.0,0.9422610998153687
38000.0,0.9404616951942444
39000.0,0.9394146203994751
40000.0,0.938206672668457
