"step","downsteramPressureTot_Re1213"
0.0,2.5395389
2000.0,2.5398088
4000.0,2.5398602
6000.0,2.5400147
8000.0,2.5398185
10000.0,2.5396304
12000.0,2.5399208
14000.0,2.5395398
16000.0,2.5395677
18000.0,2.539258
20000.0,2.5391357
22000.0,2.5392447
24000.0,2.5387893
26000.0,2.5390134
28000.0,3.1663918495178223
30000.0,3.1660215854644775
2000.0,2.82796573638916
4000.0,2.9784164428710938
6000.0,3.0077648162841797
8000.0,2.996417999267578
10000.0,2.993515968322754
12000.0,2.9902398586273193
14000.0,2.993063449859619
16000.0,2.9895904064178467
18000.0,2.996960163116455
20000.0,3.001896619796753
22000.0,2.995455741882324
24000.0,3.0075058937072754
26000.0,3.008728504180908
28000.0,3.0133283138275146
30000.0,3.0163064002990723
32000.0,3.0140490531921387
34000.0,3.018980026245117
36000.0,3.0189449787139893
38000.0,3.0182342529296875
40000.0,3.0180115699768066
42000.0,3.0218493938446045
44000.0,3.022522211074829
46000.0,3.0173919200897217
48000.0,3.0282440185546875
50000.0,3.024211883544922
52000.0,3.0236477851867676
54000.0,3.026834487915039
56000.0,3.0266470909118652
58000.0,3.027740478515625
60000.0,3.0262603759765625
62000.0,3.028188705444336
64000.0,3.0280394554138184
66000.0,3.0285048484802246
68000.0,3.0337610244750977
70000.0,3.027320384979248
72000.0,3.0264058113098145
74000.0,3.029832601547241
76000.0,3.028780937194824
78000.0,3.0309157371520996
80000.0,3.032203197479248
82000.0,3.0291500091552734
84000.0,3.0299856662750244
86000.0,3.029761552810669
88000.0,3.0312235355377197
90000.0,3.029172897338867
92000.0,3.032470226287842
94000.0,3.031154155731201
96000.0,3.030674457550049
98000.0,3.0324368476867676
100000.0,3.031862735748291
102000.0,3.031466484069824
104000.0,3.0321056842803955
106000.0,3.0321717262268066
108000.0,3.032484769821167
110000.0,3.032963991165161
112000.0,3.0330657958984375
114000.0,3.0325326919555664
116000.0,3.0325725078582764
118000.0,3.0327234268188477
120000.0,3.0333192348480225
122000.0,3.033374786376953
124000.0,3.0334744453430176
126000.0,3.0326783657073975
128000.0,3.0308170318603516
130000.0,3.0317282676696777
132000.0,3.031580686569214
134000.0,3.0331532955169678
136000.0,3.0321474075317383
138000.0,3.0330305099487305
140000.0,3.0329079627990723
142000.0,3.033508777618408
144000.0,3.0326545238494873
146000.0,3.0343782901763916
148000.0,3.033668279647827
150000.0,3.0345001220703125
152000.0,3.034371852874756
154000.0,3.033451557159424
156000.0,3.033825635910034
158000.0,3.035919666290283
160000.0,3.033205032348633
162000.0,3.034569263458252
164000.0,3.0340046882629395
166000.0,3.0341320037841797
168000.0,3.034445285797119
170000.0,3.034782648086548
172000.0,3.0345420837402344
174000.0,3.0343592166900635
176000.0,3.034527063369751
178000.0,3.0340278148651123
180000.0,3.034420967102051
182000.0,3.033783197402954
184000.0,3.0344533920288086
186000.0,3.0348803997039795
188000.0,3.0333640575408936
190000.0,3.0339269638061523
192000.0,3.0343165397644043
194000.0,3.0351130962371826
196000.0,3.035022020339966
198000.0,3.034088134765625
200000.0,3.0344767570495605
202000.0,3.034576416015625
204000.0,3.034008026123047
206000.0,3.0352678298950195
208000.0,3.035344123840332
210000.0,3.034839391708374
212000.0,3.035369396209717
214000.0,3.035494804382324
216000.0,3.0353176593780518
218000.0,3.035252809524536
220000.0,3.0350399017333984
222000.0,3.035269021987915
224000.0,3.0367891788482666
226000.0,3.0361013412475586
228000.0,3.035107135772705
230000.0,3.0364990234375
232000.0,3.03594970703125
234000.0,3.0353660583496094
236000.0,3.035412549972534
