"step","downsteramPressure_Re1213"
0.0,0.8611624
2000.0,0.8604915
4000.0,0.86012566
6000.0,0.8599707
8000.0,0.8597875
10000.0,0.8594195
12000.0,0.85939014
14000.0,0.8592168
16000.0,0.8589853
18000.0,0.858977
20000.0,0.85865235
22000.0,0.85856473
24000.0,0.8582861
26000.0,0.85831034
28000.0,0.8428276181221008
30000.0,0.8429207801818848
2000.0,0.7601944208145142
4000.0,0.7571014165878296
6000.0,0.7227791547775269
8000.0,0.690848708152771
10000.0,0.6767581701278687
12000.0,0.671356737613678
14000.0,0.6748030185699463
16000.0,0.6787034273147583
18000.0,0.6827534437179565
20000.0,0.683773398399353
22000.0,0.6922996044158936
24000.0,0.6925493478775024
26000.0,0.6973835229873657
28000.0,0.7019745707511902
30000.0,0.7030247449874878
32000.0,0.703429102897644
34000.0,0.7096552848815918
36000.0,0.7076430320739746
38000.0,0.7089283466339111
40000.0,0.7147109508514404
42000.0,0.7138333916664124
44000.0,0.716453492641449
46000.0,0.7230609655380249
48000.0,0.7212769985198975
50000.0,0.7171764969825745
52000.0,0.7183303236961365
54000.0,0.7212852239608765
56000.0,0.7207849025726318
58000.0,0.7206633687019348
60000.0,0.7218977212905884
62000.0,0.7231144905090332
64000.0,0.7239326238632202
66000.0,0.7244886159896851
68000.0,0.727787971496582
70000.0,0.7273732423782349
72000.0,0.7264124155044556
74000.0,0.7269001603126526
76000.0,0.7305291891098022
78000.0,0.7278784513473511
80000.0,0.7307957410812378
82000.0,0.7280927896499634
84000.0,0.7290178537368774
86000.0,0.7285558581352234
88000.0,0.7303129434585571
90000.0,0.7317996025085449
92000.0,0.7313480377197266
94000.0,0.7306399345397949
96000.0,0.7306396961212158
98000.0,0.7322371602058411
100000.0,0.7316744327545166
102000.0,0.7322837114334106
104000.0,0.7314818501472473
106000.0,0.7324178218841553
108000.0,0.7338380813598633
110000.0,0.7342694997787476
112000.0,0.7330021262168884
114000.0,0.7336422204971313
116000.0,0.7338010668754578
118000.0,0.7350813150405884
120000.0,0.7339658737182617
122000.0,0.7348666191101074
124000.0,0.734792947769165
126000.0,0.7357374429702759
128000.0,0.7343772649765015
130000.0,0.7343339920043945
132000.0,0.7348079681396484
134000.0,0.7354817390441895
136000.0,0.7362602949142456
138000.0,0.7356908321380615
140000.0,0.7359516620635986
142000.0,0.7365174889564514
144000.0,0.73610520362854
146000.0,0.73674076795578
148000.0,0.7366981506347656
150000.0,0.7369817495346069
152000.0,0.7372022867202759
154000.0,0.7372381687164307
156000.0,0.7374259233474731
158000.0,0.7380780577659607
160000.0,0.7380308508872986
162000.0,0.7379264831542969
164000.0,0.7379313111305237
166000.0,0.7380062341690063
168000.0,0.7380368709564209
170000.0,0.7385907173156738
172000.0,0.7392699718475342
174000.0,0.7386223077774048
176000.0,0.7382698059082031
178000.0,0.7386201620101929
180000.0,0.7385032176971436
182000.0,0.7387664318084717
184000.0,0.7388706207275391
186000.0,0.7391944527626038
188000.0,0.7388741374015808
190000.0,0.7396155595779419
192000.0,0.7392740249633789
194000.0,0.7397782206535339
196000.0,0.7390831112861633
198000.0,0.7397586107254028
200000.0,0.7393155097961426
202000.0,0.7397165298461914
204000.0,0.7397142648696899
206000.0,0.7402675747871399
208000.0,0.7405723929405212
210000.0,0.7402299046516418
212000.0,0.7401906251907349
214000.0,0.7406774759292603
216000.0,0.7407694458961487
218000.0,0.7408122420310974
220000.0,0.7410411834716797
222000.0,0.7408687472343445
224000.0,0.7411888837814331
226000.0,0.7412570714950562
228000.0,0.7416442632675171
230000.0,0.7412397861480713
232000.0,0.7412627339363098
234000.0,0.7415809631347656
236000.0,0.7413980960845947
238000.0,0.7410842776298523
240000.0,0.7414780855178833
242000.0,0.7416221499443054
244000.0,0.7414093017578125
246000.0,0.7413123846054077
248000.0,0.7419877648353577
250000.0,0.741705596446991
252000.0,0.7419741153717041
254000.0,0.7417510151863098
256000.0,0.7419783473014832
258000.0,0.7418237924575806
260000.0,0.7420079708099365
262000.0,0.7418023347854614
264000.0,0.7423117756843567
266000.0,0.7424684762954712
268000.0,0.7422774434089661
270000.0,0.7426730394363403
272000.0,0.7420552968978882
274000.0,0.7426215410232544
276000.0,0.7421321868896484
278000.0,0.7421144247055054
280000.0,0.7426592707633972
282000.0,0.7422629594802856
284000.0,0.7426779866218567
286000.0,0.7425388693809509
288000.0,0.7422854900360107
290000.0,0.7424454092979431
292000.0,0.7423694133758545
294000.0,0.7425544857978821
296000.0,0.742706835269928
298000.0,0.7425076961517334
300000.0,0.7426076531410217
302000.0,0.7428684234619141
304000.0,0.7426300644874573
306000.0,0.7428880333900452
308000.0,0.742324948310852
310000.0,0.743012011051178
312000.0,0.7428188323974609
314000.0,0.7427733540534973
316000.0,0.7428658604621887
318000.0,0.7429537177085876
320000.0,0.7430360913276672
